chrom	start	end	snps	F2_POST.1:F2_PRE.1	F2_POST.1:F3_POST_A.1	F2_POST.1:F3_POST_B.1	F2_POST.1:F3_PRE_A.1	F2_POST.1:F3_PRE_B.1	F2_PRE.1:F3_POST_A.1	F2_PRE.1:F3_POST_B.1	F2_PRE.1:F3_PRE_A.1	F2_PRE.1:F3_PRE_B.1	F3_POST_A.1:F3_POST_B.1	F3_POST_A.1:F3_PRE_A.1	F3_POST_A.1:F3_PRE_B.1	F3_POST_B.1:F3_PRE_A.1	F3_POST_B.1:F3_PRE_B.1	F3_PRE_A.1:F3_PRE_B.1
tci2_wsi3.0_chr_1	1	100000	5384	0.0183568	0.0257067	0.0274676	0.0211908	0.0245204	0.0191193	0.0197774	0.0145938	0.0164177	0.013252	0.0218564	0.0248342	0.023203	0.0236727	0.0115697
tci2_wsi3.0_chr_1	100001	200000	4663	0.0111976	0.0118743	0.0136693	0.0210546	0.0191472	0.0109715	0.010803	0.013765	0.0146214	0.00805993	0.0164742	0.0156996	0.0168177	0.0160223	0.00953284
tci2_wsi3.0_chr_1	200001	300000	7930	0.00596451	0.0128566	0.0123571	0.0150529	0.0160418	0.00883994	0.00855054	0.0070667	0.00736284	0.00388971	0.00691671	0.00694966	0.00832704	0.00785815	0.00298298
tci2_wsi3.0_chr_1	300001	400000	3835	0.0122637	0.0148425	0.0163729	0.0184082	0.0200974	0.0108256	0.0133201	0.00991931	0.0109818	0.00613519	0.0101914	0.0107094	0.0131478	0.0123481	0.00643511
tci2_wsi3.0_chr_1	400001	500000	9255	0.00562219	0.0133203	0.0134324	0.014209	0.0153307	0.00854324	0.00818391	0.00734545	0.00840313	0.00340998	0.00753696	0.00801673	0.00717867	0.00751988	0.00191604
tci2_wsi3.0_chr_1	500001	600000	8800	0.00316325	0.00921735	0.00963217	0.0102782	0.0119654	0.00572006	0.00638954	0.00652664	0.00678605	0.00248034	0.00660253	0.00723965	0.00700661	0.00800534	0.00300601
tci2_wsi3.0_chr_1	600001	700000	9956	0.00365759	0.0104123	0.00817626	0.0126451	0.012367	0.00548784	0.00483147	0.00479528	0.00575371	0.0015945	0.00467626	0.00442693	0.00520354	0.00499014	0.00189195
tci2_wsi3.0_chr_1	700001	800000	6741	0.00486308	0.0127959	0.0114515	0.0156285	0.0135964	0.00995332	0.00706648	0.0101866	0.00961997	0.00283065	0.00582763	0.00547864	0.00611601	0.00490194	0.00322823
tci2_wsi3.0_chr_1	800001	900000	11003	0.00771063	0.0144601	0.0125388	0.0133263	0.0157031	0.00840553	0.00830867	0.00908663	0.0107281	0.00655352	0.00737489	0.00810964	0.00687786	0.00756796	0.00602365
tci2_wsi3.0_chr_1	900001	1000000	8181	0.0154593	0.0200896	0.0244161	0.0196466	0.0211462	0.0184276	0.0173446	0.0157016	0.0183516	0.0110205	0.0168977	0.0169821	0.0170651	0.0195585	0.0133786
