chrom	start	end	snps	RS3.1:SINBRED.1
tci2_wsi3.0_chr_1	1	100000	3086	0.0637644
tci2_wsi3.0_chr_1	100001	200000	2556	0.0836904
tci2_wsi3.0_chr_1	200001	300000	4534	0.0755532
tci2_wsi3.0_chr_1	300001	400000	2431	0.0997599
tci2_wsi3.0_chr_1	400001	500000	4805	0.0563828
tci2_wsi3.0_chr_1	500001	600000	2876	0.037707
tci2_wsi3.0_chr_1	600001	700000	3479	0.0432175
tci2_wsi3.0_chr_1	700001	800000	3214	0.0601355
tci2_wsi3.0_chr_1	800001	900000	6495	0.0751465
tci2_wsi3.0_chr_1	900001	1000000	5483	0.0858183
tci2_wsi3.0_chr_1	1000001	1100000	6639	0.0961516
tci2_wsi3.0_chr_1	1100001	1200000	7941	0.0804479
tci2_wsi3.0_chr_1	1200001	1300000	5930	0.09813
tci2_wsi3.0_chr_1	1300001	1400000	6704	0.0969478
tci2_wsi3.0_chr_1	1400001	1500000	6148	0.0882202
tci2_wsi3.0_chr_1	1500001	1600000	5853	0.0854276
tci2_wsi3.0_chr_1	1600001	1700000	6240	0.0714492
tci2_wsi3.0_chr_1	1700001	1800000	5915	0.0974194
tci2_wsi3.0_chr_1	1800001	1900000	4877	0.0988397
tci2_wsi3.0_chr_1	1900001	2000000	5818	0.0963907
tci2_wsi3.0_chr_1	2000001	2100000	7027	0.132695
tci2_wsi3.0_chr_1	2100001	2200000	5018	0.112223
tci2_wsi3.0_chr_1	2200001	2300000	6775	0.114017
tci2_wsi3.0_chr_1	2300001	2400000	5645	0.175229
tci2_wsi3.0_chr_1	2400001	2500000	7453	0.0827355
tci2_wsi3.0_chr_1	2500001	2600000	7777	0.082568
tci2_wsi3.0_chr_1	2600001	2700000	5384	0.0813818
tci2_wsi3.0_chr_1	2700001	2800000	5447	0.105428
tci2_wsi3.0_chr_1	2800001	2900000	6631	0.0969975
tci2_wsi3.0_chr_1	2900001	3000000	8398	0.127152
tci2_wsi3.0_chr_1	3000001	3100000	5235	0.0896094
tci2_wsi3.0_chr_1	3100001	3200000	5446	0.0952223
tci2_wsi3.0_chr_1	3200001	3300000	5863	0.0849949
tci2_wsi3.0_chr_1	3300001	3400000	4226	0.0836366
