chrom	start	end	snps	F2_POST.1:F2_PRE.1	F2_POST.1:F3_POST_A.1	F2_POST.1:F3_POST_B.1	F2_POST.1:F3_PRE_A.1	F2_POST.1:F3_PRE_B.1	F2_PRE.1:F3_POST_A.1	F2_PRE.1:F3_POST_B.1	F2_PRE.1:F3_PRE_A.1	F2_PRE.1:F3_PRE_B.1	F3_POST_A.1:F3_POST_B.1	F3_POST_A.1:F3_PRE_A.1	F3_POST_A.1:F3_PRE_B.1	F3_POST_B.1:F3_PRE_A.1	F3_POST_B.1:F3_PRE_B.1	F3_PRE_A.1:F3_PRE_B.1
tci2_wsi3.0_chr_1	1	100000	5384	0.0940076	0.0916618	0.0973505	0.093101	0.0960926	0.091093	0.0989097	0.09528	0.0977807	0.0926635	0.0906443	0.0927417	0.0981369	0.100822	0.0967297
tci2_wsi3.0_chr_1	100001	200000	4663	0.0898828	0.0885084	0.090389	0.0923104	0.0893971	0.0871246	0.0883967	0.0908817	0.087221	0.0872103	0.0882095	0.0861143	0.0899309	0.0877934	0.0884225
tci2_wsi3.0_chr_1	200001	300000	7930	0.113123	0.120896	0.119351	0.111515	0.113018	0.116749	0.115617	0.106908	0.108274	0.120479	0.113022	0.114209	0.112118	0.112942	0.104481
tci2_wsi3.0_chr_1	300001	400000	3835	0.106593	0.110326	0.11331	0.101917	0.102339	0.102951	0.106185	0.0937101	0.0937381	0.107744	0.0967587	0.0967614	0.0997696	0.0989244	0.0866816
tci2_wsi3.0_chr_1	400001	500000	9255	0.123657	0.129118	0.128662	0.120668	0.120222	0.124913	0.124323	0.115872	0.115569	0.12694	0.119465	0.118783	0.119337	0.118498	0.109917
tci2_wsi3.0_chr_1	500001	600000	8800	0.0764614	0.0829423	0.0825573	0.0746568	0.0768427	0.081177	0.0807062	0.0731525	0.0753401	0.0858251	0.0782657	0.0810052	0.0781074	0.0807862	0.0726667
tci2_wsi3.0_chr_1	600001	700000	9956	0.0743003	0.0826503	0.0816061	0.0751816	0.0751221	0.0791216	0.0785884	0.0715295	0.071802	0.0857287	0.0787483	0.0782894	0.0783577	0.0778993	0.0712918
tci2_wsi3.0_chr_1	700001	800000	6741	0.0961755	0.102997	0.101971	0.098138	0.0983276	0.101535	0.100009	0.0970719	0.0968365	0.105324	0.101212	0.101452	0.100785	0.100609	0.09664
tci2_wsi3.0_chr_1	800001	900000	11003	0.101421	0.105677	0.106559	0.10691	0.107003	0.10323	0.103774	0.104528	0.104518	0.106859	0.107436	0.106832	0.108356	0.107449	0.108745
tci2_wsi3.0_chr_1	900001	1000000	8181	0.105053	0.105225	0.107643	0.110815	0.111009	0.106318	0.10787	0.10974	0.110642	0.107605	0.112076	0.111944	0.113579	0.113497	0.117989
tci2_wsi3.0_chr_1	1000001	1100000	10867	0.118142	0.115615	0.115668	0.120248	0.117807	0.116829	0.117305	0.12142	0.118746	0.114303	0.118833	0.11582	0.119487	0.116776	0.120855
tci2_wsi3.0_chr_1	1100001	1200000	11317	0.110117	0.108695	0.11087	0.113088	0.113766	0.109113	0.111489	0.112305	0.114056	0.108154	0.11273	0.112795	0.113264	0.115159	0.116289
tci2_wsi3.0_chr_1	1200001	1300000	8631	0.0997882	0.0973931	0.0992673	0.101501	0.102099	0.0960533	0.0998129	0.103125	0.103211	0.0963425	0.0996371	0.0999759	0.101481	0.102382	0.10544
tci2_wsi3.0_chr_1	1300001	1400000	9947	0.11468	0.112386	0.113109	0.11712	0.116725	0.111465	0.1121	0.118477	0.117088	0.109053	0.11577	0.115035	0.114942	0.11459	0.119106
tci2_wsi3.0_chr_1	1400001	1500000	14418	0.0891772	0.0877121	0.0885091	0.0898645	0.0892833	0.0887925	0.0896293	0.0905749	0.0894398	0.0871193	0.0889727	0.0874908	0.0900584	0.0891959	0.0900832
tci2_wsi3.0_chr_1	1500001	1600000	8466	0.10395	0.101762	0.100964	0.104724	0.103681	0.102318	0.101282	0.10582	0.104995	0.099984	0.103124	0.1015	0.103508	0.101298	0.105463
tci2_wsi3.0_chr_1	1600001	1700000	8104	0.095537	0.0915908	0.0923512	0.0998872	0.0986413	0.08981	0.0922495	0.0989675	0.100477	0.0881988	0.0940861	0.0940276	0.0965395	0.0965813	0.103693
tci2_wsi3.0_chr_1	1700001	1800000	7526	0.0888628	0.0861494	0.0878013	0.0901368	0.0920762	0.0845548	0.0877433	0.0900495	0.0916172	0.0825558	0.0845669	0.0866256	0.0884857	0.0881487	0.09183
tci2_wsi3.0_chr_1	1800001	1900000	6839	0.0898333	0.087207	0.0897312	0.0903956	0.0904843	0.0942314	0.0965357	0.095591	0.0971731	0.0931491	0.0938539	0.0944775	0.0959676	0.0966515	0.0965998
tci2_wsi3.0_chr_1	1900001	2000000	11870	0.0930315	0.0948396	0.0946222	0.0940808	0.0931567	0.0944223	0.0943945	0.0941451	0.0934013	0.0945128	0.0961966	0.0954245	0.0954927	0.094663	0.0946539
tci2_wsi3.0_chr_1	2000001	2100000	11628	0.0975305	0.0995111	0.100019	0.100591	0.100088	0.0996126	0.0992694	0.0981691	0.0978541	0.100093	0.100436	0.100309	0.100802	0.101114	0.101214
