chrom	start	end	snps	RS3.1:SINBRED.1
tci2_wsi3.0_chr_1	1	100000	3086	0.206891
tci2_wsi3.0_chr_1	100001	200000	2556	0.222936
tci2_wsi3.0_chr_1	200001	300000	4534	0.198307
tci2_wsi3.0_chr_1	300001	400000	2431	0.276223
tci2_wsi3.0_chr_1	400001	500000	4805	0.226605
tci2_wsi3.0_chr_1	500001	600000	2876	0.129221
tci2_wsi3.0_chr_1	600001	700000	3479	0.0998767
tci2_wsi3.0_chr_1	700001	800000	3214	0.159892
tci2_wsi3.0_chr_1	800001	900000	6495	0.191096
tci2_wsi3.0_chr_1	900001	1000000	5483	0.19414
tci2_wsi3.0_chr_1	1000001	1100000	6639	0.251238
tci2_wsi3.0_chr_1	1100001	1200000	7941	0.234848
tci2_wsi3.0_chr_1	1200001	1300000	5930	0.223937
tci2_wsi3.0_chr_1	1300001	1400000	6704	0.252969
tci2_wsi3.0_chr_1	1400001	1500000	6148	0.18663
tci2_wsi3.0_chr_1	1500001	1600000	5853	0.219077
tci2_wsi3.0_chr_1	1600001	1700000	6240	0.252425
tci2_wsi3.0_chr_1	1700001	1800000	5915	0.224862
tci2_wsi3.0_chr_1	1800001	1900000	4877	0.235843
tci2_wsi3.0_chr_1	1900001	2000000	5818	0.225013
tci2_wsi3.0_chr_1	2000001	2100000	7027	0.24166
tci2_wsi3.0_chr_1	2100001	2200000	5018	0.241794
tci2_wsi3.0_chr_1	2200001	2300000	6775	0.25422
tci2_wsi3.0_chr_1	2300001	2400000	5645	0.250207
tci2_wsi3.0_chr_1	2400001	2500000	7453	0.227144
tci2_wsi3.0_chr_1	2500001	2600000	7777	0.217887
tci2_wsi3.0_chr_1	2600001	2700000	5384	0.199769
tci2_wsi3.0_chr_1	2700001	2800000	5447	0.243425
tci2_wsi3.0_chr_1	2800001	2900000	6631	0.214822
tci2_wsi3.0_chr_1	2900001	3000000	8398	0.241348
tci2_wsi3.0_chr_1	3000001	3100000	5235	0.211446
tci2_wsi3.0_chr_1	3100001	3200000	5446	0.218653
tci2_wsi3.0_chr_1	3200001	3300000	5863	0.194097
tci2_wsi3.0_chr_1	3300001	3400000	4226	0.212624
tci2_wsi3.0_chr_1	3400001	3500000	4635	0.229494
tci2_wsi3.0_chr_1	3500001	3600000	7434	0.221483
tci2_wsi3.0_chr_1	3600001	3700000	3286	0.171034
tci2_wsi3.0_chr_1	3700001	3800000	4653	0.191168
tci2_wsi3.0_chr_1	3800001	3900000	3005	0.245308
tci2_wsi3.0_chr_1	3900001	4000000	4310	0.239117
tci2_wsi3.0_chr_1	4000001	4100000	5631	0.208323
tci2_wsi3.0_chr_1	4100001	4200000	3997	0.226379
tci2_wsi3.0_chr_1	4200001	4300000	6502	0.236186
tci2_wsi3.0_chr_1	4300001	4400000	6974	0.235097
tci2_wsi3.0_chr_1	4400001	4500000	6452	0.200704
tci2_wsi3.0_chr_1	4500001	4600000	5523	0.230088
tci2_wsi3.0_chr_1	4600001	4700000	6616	0.225812
tci2_wsi3.0_chr_1	4700001	4800000	5592	0.213744
tci2_wsi3.0_chr_1	4800001	4900000	7007	0.228462
tci2_wsi3.0_chr_1	4900001	5000000	8700	0.22888
tci2_wsi3.0_chr_1	5000001	5100000	6151	0.227837
tci2_wsi3.0_chr_1	5100001	5200000	5097	0.225923
tci2_wsi3.0_chr_1	5200001	5300000	5434	0.22763
tci2_wsi3.0_chr_1	5300001	5400000	5488	0.22569
tci2_wsi3.0_chr_1	5400001	5500000	5748	0.229351
tci2_wsi3.0_chr_1	5500001	5600000	6669	0.240907
tci2_wsi3.0_chr_1	5600001	5700000	7420	0.226722
tci2_wsi3.0_chr_1	5700001	5800000	5097	0.212614
tci2_wsi3.0_chr_1	5800001	5900000	7338	0.221752
tci2_wsi3.0_chr_1	5900001	6000000	4640	0.25529
tci2_wsi3.0_chr_1	6000001	6100000	7852	0.230597
tci2_wsi3.0_chr_1	6100001	6200000	4882	0.2204
tci2_wsi3.0_chr_1	6200001	6300000	5264	0.190118
tci2_wsi3.0_chr_1	6300001	6400000	5473	0.223585
tci2_wsi3.0_chr_1	6400001	6500000	3756	0.176387
tci2_wsi3.0_chr_1	6500001	6600000	6718	0.207573
tci2_wsi3.0_chr_1	6600001	6700000	6350	0.204554
tci2_wsi3.0_chr_1	6700001	6800000	5633	0.225207
tci2_wsi3.0_chr_1	6800001	6900000	3904	0.218673
tci2_wsi3.0_chr_1	6900001	7000000	3045	0.189749
tci2_wsi3.0_chr_1	7000001	7100000	5152	0.254392
tci2_wsi3.0_chr_1	7100001	7200000	4843	0.221755
tci2_wsi3.0_chr_1	7200001	7300000	4521	0.13021
tci2_wsi3.0_chr_1	7300001	7400000	3841	0.166794
tci2_wsi3.0_chr_1	7400001	7500000	5818	0.241874
tci2_wsi3.0_chr_1	7500001	7600000	3375	0.226887
tci2_wsi3.0_chr_1	7600001	7700000	5005	0.190771
tci2_wsi3.0_chr_1	7700001	7800000	6518	0.208406
tci2_wsi3.0_chr_1	7800001	7900000	7944	0.221322
tci2_wsi3.0_chr_1	7900001	8000000	6135	0.213394
tci2_wsi3.0_chr_1	8000001	8100000	6418	0.21157
tci2_wsi3.0_chr_1	8100001	8200000	6764	0.231985
tci2_wsi3.0_chr_1	8200001	8300000	4629	0.236346
tci2_wsi3.0_chr_1	8300001	8400000	8267	0.225308
tci2_wsi3.0_chr_1	8400001	8500000	7135	0.190383
tci2_wsi3.0_chr_1	8500001	8600000	4578	0.12624
tci2_wsi3.0_chr_1	8600001	8700000	7792	0.204898
tci2_wsi3.0_chr_1	8700001	8800000	5800	0.208334
tci2_wsi3.0_chr_1	8800001	8900000	6786	0.202139
tci2_wsi3.0_chr_1	8900001	9000000	3196	0.217779
tci2_wsi3.0_chr_1	9000001	9100000	6541	0.218075
tci2_wsi3.0_chr_1	9100001	9200000	5097	0.208878
tci2_wsi3.0_chr_1	9200001	9300000	6756	0.233208
tci2_wsi3.0_chr_1	9300001	9400000	7090	0.208961
tci2_wsi3.0_chr_1	9400001	9500000	7262	0.208611
tci2_wsi3.0_chr_1	9500001	9600000	4249	0.174122
tci2_wsi3.0_chr_1	9600001	9700000	5396	0.231968
tci2_wsi3.0_chr_1	9700001	9800000	5582	0.213846
tci2_wsi3.0_chr_1	9800001	9900000	7854	0.220603
tci2_wsi3.0_chr_1	9900001	10000000	4602	0.241817
tci2_wsi3.0_chr_1	10000001	10100000	6513	0.15342
tci2_wsi3.0_chr_1	10100001	10200000	5863	0.172814
tci2_wsi3.0_chr_1	10200001	10300000	4486	0.191882
tci2_wsi3.0_chr_1	10300001	10400000	8568	0.21944
tci2_wsi3.0_chr_1	10400001	10500000	6000	0.211966
tci2_wsi3.0_chr_1	10500001	10600000	7082	0.188306
tci2_wsi3.0_chr_1	10600001	10700000	11026	0.195373
tci2_wsi3.0_chr_1	10700001	10800000	7255	0.207882
tci2_wsi3.0_chr_1	10800001	10900000	3386	0.132869
tci2_wsi3.0_chr_1	10900001	11000000	7334	0.220311
tci2_wsi3.0_chr_1	11000001	11100000	6740	0.192906
tci2_wsi3.0_chr_1	11100001	11200000	8643	0.197684
tci2_wsi3.0_chr_1	11200001	11300000	5889	0.217798
tci2_wsi3.0_chr_1	11300001	11400000	7840	0.200519
tci2_wsi3.0_chr_1	11400001	11500000	5928	0.204543
tci2_wsi3.0_chr_1	11500001	11600000	8394	0.187814
tci2_wsi3.0_chr_1	11600001	11700000	5022	0.190484
tci2_wsi3.0_chr_1	11700001	11800000	6599	0.233318
tci2_wsi3.0_chr_1	11800001	11900000	3888	0.201516
tci2_wsi3.0_chr_1	11900001	12000000	3133	0.246208
tci2_wsi3.0_chr_1	12000001	12100000	1770	0.178432
tci2_wsi3.0_chr_1	12100001	12200000	6572	0.209367
tci2_wsi3.0_chr_1	12200001	12300000	9363	0.20962
tci2_wsi3.0_chr_1	12300001	12400000	7388	0.183057
tci2_wsi3.0_chr_1	12400001	12500000	5172	0.19908
tci2_wsi3.0_chr_1	12500001	12600000	6151	0.2052
tci2_wsi3.0_chr_1	12600001	12700000	6290	0.222941
tci2_wsi3.0_chr_1	12700001	12800000	5054	0.254568
tci2_wsi3.0_chr_1	12800001	12900000	5410	0.281224
tci2_wsi3.0_chr_1	12900001	13000000	6427	0.253552
tci2_wsi3.0_chr_1	13000001	13100000	5271	0.217809
tci2_wsi3.0_chr_1	13100001	13200000	6894	0.179718
tci2_wsi3.0_chr_1	13200001	13300000	6415	0.163006
tci2_wsi3.0_chr_1	13300001	13400000	6491	0.184185
tci2_wsi3.0_chr_1	13400001	13500000	6313	0.198302
tci2_wsi3.0_chr_1	13500001	13600000	7019	0.218021
tci2_wsi3.0_chr_1	13600001	13700000	7135	0.226278
tci2_wsi3.0_chr_1	13700001	13800000	4708	0.234011
tci2_wsi3.0_chr_1	13800001	13900000	2379	0.192277
tci2_wsi3.0_chr_1	13900001	14000000	5673	0.232579
tci2_wsi3.0_chr_1	14000001	14100000	5856	0.22038
tci2_wsi3.0_chr_1	14100001	14200000	6566	0.204608
tci2_wsi3.0_chr_1	14200001	14300000	3501	0.224992
tci2_wsi3.0_chr_1	14300001	14400000	5704	0.216951
tci2_wsi3.0_chr_1	14400001	14500000	7436	0.23379
tci2_wsi3.0_chr_1	14500001	14600000	2700	0.243401
tci2_wsi3.0_chr_1	14600001	14700000	4101	0.186572
tci2_wsi3.0_chr_1	14700001	14800000	2426	0.253765
